,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Port Elizabeth,1,US,1563050126,48,39.31,-74.98,90.0,9.17
1,Ushuaia,75,AR,1563049862,70,-54.81,-68.31,42.8,10.29
2,Katsuura,75,JP,1563050129,100,33.93,134.5,71.6,6.93
3,Bluff,53,AU,1563049876,61,-23.58,149.07,48.98,9.26
4,Nikolskoye,75,RU,1563050048,66,59.7,30.79,53.6,4.47
5,Kodiak,40,US,1563050133,13,39.95,-94.76,93.0,4.7
6,Port Alfred,0,ZA,1563049865,92,-33.59,26.89,57.0,1.01
7,Qaanaaq,100,GL,1563050136,61,77.48,-69.36,45.74,9.91
8,Strezhevoy,0,RU,1563050137,93,60.73,77.6,60.8,3.31
9,Arraial do Cabo,0,BR,1563050017,64,-22.97,-42.02,73.4,3.36
10,Salalah,90,OM,1563050140,88,17.01,54.1,80.6,8.05
11,Nanortalik,14,GL,1563050141,79,60.14,-45.24,45.02,7.81
12,Vostok,91,RU,1563050142,80,46.45,135.83,60.32,3.85
13,Avarua,90,CK,1563050144,82,-21.21,-159.78,68.0,9.17
14,Kavieng,66,PG,1563050145,74,-2.57,150.8,82.64,8.68
15,Padang,16,ID,1563049888,79,-0.92,100.36,82.28,12.88
16,Rikitea,0,PF,1563050147,84,-23.12,-134.97,74.72,13.09
17,Albany,20,US,1563050116,40,42.65,-73.75,88.0,9.17
18,Ryotsu,100,JP,1563050150,82,38.08,138.43,68.0,3.36
19,Naples,40,IT,1563050103,61,40.84,14.25,80.01,3.36
20,Kyren,99,RU,1563050152,95,51.68,102.13,48.44,5.48
21,Hermanus,0,ZA,1563050154,94,-34.42,19.24,55.0,3.0
22,Cabo San Lucas,20,MX,1563049955,70,22.89,-109.91,91.0,9.17
23,Port Blair,100,IN,1563050156,78,11.67,92.75,83.18,16.13
24,Beringovskiy,98,RU,1563049913,50,63.05,179.32,73.1,4.68
25,Bima,32,ID,1563049876,97,-8.45,118.73,63.56,2.21
26,Muroto,100,JP,1563050160,99,33.37,134.14,72.56,2.26
27,Port Keats,28,AU,1563050162,38,-14.25,129.55,64.64,17.49
28,Laguna,75,BZ,1563050163,70,16.17,-88.94,89.6,9.17
29,Upernavik,64,GL,1563050164,82,72.79,-56.15,46.1,8.43
30,Kapaa,40,US,1563050165,70,22.08,-159.32,84.2,16.11
31,Georgetown,40,GY,1563050167,79,6.8,-58.16,87.8,11.41
32,Mataura,100,NZ,1563050168,97,-46.19,168.86,46.0,7.0
33,Mar del Plata,60,AR,1563050169,53,-46.43,-67.52,47.0,14.45
34,Sawakin,89,SD,1563050171,31,19.1,37.33,86.96,1.97
35,Cap Malheureux,75,MU,1563050172,53,-19.98,57.61,71.6,6.93
36,Hobart,75,AU,1563050173,70,-42.88,147.33,48.99,8.05
37,Lugovoy,55,RU,1563050174,76,59.72,65.88,71.12,9.46
38,Chornobayivka,0,UA,1563050176,64,46.69,32.55,68.0,4.47
39,High Level,75,CA,1563050177,52,58.52,-117.13,66.2,6.93
40,Tuktoyaktuk,75,CA,1563050178,48,69.44,-133.03,60.8,2.24
41,Mana,12,NG,1563050180,55,13.03,5.27,85.52,11.61
42,Ixtapa,40,MX,1563050181,59,20.71,-105.21,89.6,11.41
43,Galesong,9,ID,1563050183,100,-5.32,119.37,68.0,1.12
44,Cherskiy,91,RU,1563050184,72,68.75,161.3,45.92,15.82
45,Shellbrook,75,CA,1563050185,44,53.22,-106.39,78.8,11.41
46,Ocos,40,GT,1563050186,52,14.51,-92.19,89.6,11.41
47,Tura,100,RU,1563050188,96,64.27,100.22,56.54,1.95
48,Kiryas Joel,1,US,1563050189,45,41.34,-74.17,89.01,12.75
49,Hasaki,75,JP,1563049897,100,35.73,140.83,69.8,5.82
50,Ketchikan,75,US,1563050192,64,55.34,-131.65,68.0,11.41
51,Vila Franca do Campo,20,PT,1563050193,88,37.72,-25.43,71.6,10.29
52,Harnosand,48,SE,1563050194,58,62.63,17.94,57.2,3.36
53,Saint-Philippe,20,CA,1563050195,57,45.36,-73.48,84.0,16.11
54,Bambous Virieux,75,MU,1563050197,53,-20.34,57.76,71.6,6.93
55,Huarmey,0,PE,1563050198,85,-10.07,-78.15,62.66,17.27
56,Riyadh,0,SA,1563050199,9,24.63,46.72,93.2,8.05
57,Arlit,44,NE,1563050201,17,18.74,7.39,98.48,2.77
58,Jamestown,82,AU,1563050202,88,-33.21,138.6,43.22,2.64
59,Narsaq,75,GL,1563050203,42,60.91,-46.05,62.6,10.29
60,Omboue,30,GA,1563050205,90,-1.57,9.26,73.46,12.5
61,Oranjemund,0,ZA,1563050206,91,-28.55,16.43,55.1,6.33
62,San Patricio,100,PY,1563050207,81,-26.98,-56.83,68.78,3.62
63,Bethel,75,US,1563050209,82,60.79,-161.76,60.8,6.93
64,Hithadhoo,2,MV,1563050210,77,-0.6,73.08,83.54,11.45
65,Nahan,40,IN,1563050212,100,30.56,77.29,80.6,2.24
66,Sisimiut,100,GL,1563049916,94,66.94,-53.67,40.52,10.92
67,Butaritari,100,KI,1563050215,62,3.07,172.79,83.9,6.46
68,Kahului,20,US,1563050071,54,20.89,-156.47,84.2,13.87
69,Punta Arenas,90,CL,1563050218,100,-53.16,-70.91,41.0,8.05
70,Oga,90,IT,1563050219,61,46.46,10.35,53.6,3.36
71,Praia da Vitoria,40,PT,1563050220,78,38.73,-27.07,77.0,14.72
72,New Norfolk,75,AU,1563050222,70,-42.78,147.06,48.99,8.05
73,Vardo,1,US,1563050223,45,39.62,-77.74,91.99,5.82
74,Westport,1,US,1563050225,48,41.14,-73.36,89.01,13.87
75,Moose Factory,90,CA,1563050226,87,51.26,-80.61,55.4,4.7
76,Lompoc,1,US,1563050227,72,34.64,-120.46,96.01,14.99
77,Mount Isa,92,AU,1563050229,57,-20.73,139.49,51.8,10.29
78,Lasa,40,CY,1563050230,69,34.92,32.53,77.0,4.7
79,Srednekolymsk,27,RU,1563050232,57,67.46,153.71,66.98,14.99
80,Oxford,75,US,1563050233,100,33.61,-85.83,82.99,5.91
81,Beloha,0,MG,1563050234,78,-25.17,45.06,59.6,7.11
82,Nome,90,US,1563050235,83,30.04,-94.42,90.0,6.93
83,Rocha,77,UY,1563050237,82,-34.48,-54.34,49.16,7.85
84,East London,0,ZA,1563050124,88,-33.02,27.91,53.84,3.2
85,Cape Town,0,ZA,1563050109,93,-33.93,18.42,55.0,4.7
86,Busselton,0,AU,1563050241,71,-33.64,115.35,45.0,20.0
87,Vila Velha,40,BR,1563050242,69,-3.71,-38.6,86.0,13.87
88,Nova Vicosa,0,BR,1563050244,77,-17.89,-39.37,72.38,6.73
89,Chuy,45,UY,1563050245,85,-33.69,-53.46,52.22,10.31
90,Puerto Ayora,20,EC,1563050063,54,-0.74,-90.35,80.6,4.7
91,Takhtamygda,96,RU,1563050247,85,54.1,123.57,60.32,2.17
92,Gisborne,98,NZ,1563050249,55,-38.66,178.02,62.01,11.01
93,Mogadishu,97,SO,1563050066,83,2.04,45.34,76.16,13.94
94,Kozhva,100,RU,1563050252,98,65.11,57.05,56.36,6.46
95,Chapais,90,CA,1563050253,82,49.78,-74.86,64.4,11.41
96,Saint George,40,GR,1563050254,73,39.45,22.34,77.0,8.05
97,Tsagan Aman,57,RU,1563050256,68,47.57,46.72,66.44,8.23
98,Thompson,90,CA,1563050174,57,55.74,-97.86,75.2,6.93
99,Cabedelo,20,BR,1563050258,83,-6.97,-34.84,78.8,8.05
100,Fort Smith,75,US,1563050053,66,35.39,-94.42,91.0,12.75
101,Luderitz,0,NA,1563050261,93,-26.65,15.16,50.0,3.36
